               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.048022,            0.021922,                   0,             0.59916,             0.90986,             0.69883,             0.28642,            0.039212,            0.013685,                   0,           0.0014379,           0.0014379,            0.086338
                  38,            0.047974,            0.019808,                   0,             0.51662,             0.75512,              0.6207,             0.20085,            0.043052,            0.013089,                   0,            0.001472,            0.001472,            0.085972
                  39,            0.046288,            0.018579,                   0,             0.41333,             0.69565,             0.50453,             0.10678,            0.044251,            0.012914,                   0,           0.0015058,           0.0015058,            0.085606
                  40,            0.047593,            0.020108,                   0,             0.71042,             0.74666,             0.73248,             0.30698,            0.036562,            0.013226,                   0,           0.0015393,           0.0015393,            0.085239
                  41,             0.04688,            0.019549,                   0,             0.68026,             0.83696,             0.75017,             0.30719,            0.038691,            0.012845,                   0,           0.0015724,           0.0015724,            0.084872
                  42,            0.046613,            0.017104,                   0,             0.78618,             0.72826,             0.76242,             0.28039,            0.038759,            0.012798,                   0,           0.0016053,           0.0016053,            0.084505
                  43,            0.047708,            0.015388,                   0,              0.6192,             0.80435,             0.71347,             0.34397,            0.041371,            0.011834,                   0,           0.0016378,           0.0016378,            0.084138
                  44,            0.045933,            0.018257,                   0,             0.71132,             0.78261,             0.75712,              0.3804,             0.03787,            0.011945,                   0,             0.00167,             0.00167,             0.08377
                  45,            0.044634,            0.018593,                   0,             0.68792,             0.81466,             0.77145,              0.3515,            0.038228,            0.011731,                   0,           0.0017018,           0.0017018,            0.083402
                  46,            0.047121,            0.016667,                   0,             0.75426,             0.90078,             0.84322,             0.46638,            0.034139,            0.012029,                   0,           0.0017333,           0.0017333,            0.083033
                  47,            0.044203,            0.016394,                   0,             0.75856,              0.8587,             0.80728,             0.40263,             0.03631,             0.01212,                   0,           0.0017644,           0.0017644,            0.082664
                  48,            0.043055,            0.015599,                   0,             0.78711,             0.84783,             0.83413,             0.42065,            0.033804,            0.012214,                   0,           0.0017951,           0.0017951,            0.082295
                  49,            0.045165,            0.014912,                   0,             0.85099,             0.86903,             0.88634,             0.47524,            0.038614,            0.011453,                   0,           0.0018255,           0.0018255,            0.081926
                  50,            0.047499,            0.015614,                   0,             0.82225,             0.85479,              0.8764,             0.49136,            0.033916,            0.011455,                   0,           0.0018555,           0.0018555,            0.081556
                  51,            0.044481,            0.014721,                   0,              0.8082,             0.92391,             0.89943,             0.54226,             0.03291,            0.011087,                   0,           0.0018852,           0.0018852,            0.081185
                  52,            0.044444,            0.014411,                   0,             0.83682,             0.83615,             0.88158,             0.50277,            0.032747,            0.010871,                   0,           0.0019144,           0.0019144,            0.080814
                  53,            0.042312,            0.014693,                   0,             0.63253,             0.80435,             0.75218,             0.26151,            0.036172,            0.010345,                   0,           0.0019432,           0.0019432,            0.080443
                  54,            0.044284,            0.014294,                   0,             0.65908,             0.73913,              0.7514,             0.32849,            0.037491,            0.010176,                   0,           0.0019717,           0.0019717,            0.080072
                  55,            0.041531,            0.013684,                   0,             0.82982,             0.90107,             0.91299,             0.57094,            0.031588,            0.010621,                   0,           0.0019997,           0.0019997,              0.0797
                  56,            0.044509,            0.015312,                   0,             0.81723,             0.92344,              0.9164,             0.58403,            0.033486,            0.010262,                   0,           0.0020273,           0.0020273,            0.079327
                  57,            0.042595,            0.013858,                   0,             0.83493,             0.93461,             0.90946,             0.45423,            0.037162,           0.0097639,                   0,           0.0020545,           0.0020545,            0.078955
                  58,            0.043918,            0.013964,                   0,             0.57425,             0.79348,             0.73099,             0.37565,            0.034529,            0.010145,                   0,           0.0020813,           0.0020813,            0.078581
                  59,            0.044192,            0.014607,                   0,             0.61163,             0.89015,             0.76474,             0.36841,            0.035753,           0.0099177,                   0,           0.0021077,           0.0021077,            0.078208
                  60,            0.040497,            0.012788,                   0,             0.74515,              0.8913,             0.86986,             0.42586,            0.029891,            0.010086,                   0,           0.0021336,           0.0021336,            0.077834
                  61,            0.044442,            0.014505,                   0,             0.78959,             0.89737,             0.88729,             0.43667,             0.03486,           0.0095339,                   0,           0.0021591,           0.0021591,            0.077459
                  62,            0.041075,            0.014879,                   0,             0.87968,             0.95365,              0.9285,             0.43856,            0.033503,           0.0093518,                   0,           0.0021842,           0.0021842,            0.077084
                  63,            0.044593,            0.013544,                   0,              0.8365,             0.94541,             0.92177,             0.48407,            0.033961,           0.0091794,                   0,           0.0022088,           0.0022088,            0.076709
                  64,            0.040822,            0.012229,                   0,             0.86863,             0.93432,             0.94367,             0.53237,            0.030783,           0.0093705,                   0,            0.002233,            0.002233,            0.076333
                  65,            0.040513,            0.013301,                   0,             0.85954,             0.93478,              0.9354,              0.6098,            0.030628,           0.0089466,                   0,           0.0022567,           0.0022567,            0.075957
                  66,            0.039613,            0.011133,                   0,             0.63095,             0.96739,             0.77854,             0.46664,            0.033288,           0.0088127,                   0,           0.0022799,           0.0022799,             0.07558
                  67,            0.039875,            0.012901,                   0,             0.88953,             0.88043,             0.92443,             0.57907,            0.032296,           0.0085963,                   0,           0.0023027,           0.0023027,            0.075203
                  68,            0.039551,            0.013842,                   0,             0.84146,             0.92306,             0.91403,              0.6066,             0.02895,            0.008454,                   0,            0.002325,            0.002325,            0.074825
                  69,            0.040908,            0.010993,                   0,             0.87104,             0.96739,             0.94211,             0.45658,            0.035415,            0.007925,                   0,           0.0023469,           0.0023469,            0.074447
                  70,            0.041034,            0.012083,                   0,              0.8888,              0.8688,             0.93116,              0.5155,            0.031444,           0.0080703,                   0,           0.0023683,           0.0023683,            0.074068
                  71,            0.040189,            0.012265,                   0,             0.83942,             0.96739,             0.93796,             0.59379,             0.02847,           0.0076692,                   0,           0.0023892,           0.0023892,            0.073689
                  72,            0.040849,            0.011073,                   0,             0.88155,             0.97826,             0.92628,             0.58755,            0.030675,           0.0074643,                   0,           0.0024096,           0.0024096,             0.07331
